COD_ANT;COD_COMPLETO;OTROS_COD;CODIGO;COD_COMPUESTO;ID_GC;ID_AUX;DESCRIP_ARPRO;COMPLEMENTOS;MARCA;MODELO;SERIE;PROCESADOR;GENERACION;HDD;RAM;MATERIAL;COLOR;MEDIDAS;CUSTODIO;OBSERV;DESCRIPCION;ESTADO;DEPARTAMENTO;EDIFICIO;PISO;UBI_ESPEC;OFICINA;ID_RESP;INVENTARIADOR;FECHA
35070229024;035-07-02-29-024;35020232035/FMR-ETS-22L/M-03-0310/SNP-1555;00001;AOE-00001;2;29;MESA AUXILIAR;2 DIVISIONES Y RUEDAS;;;;;;;;MADERA;CAFê;74X75X60;CUSTODIO;;MESA AUXILIAR DE MADERA COLOR CAFê DE 74X75X60 Cm. CON 2 DIVISIONES Y RUEDAS ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070244002;035-07-02-44-002;-/SNP 1656;00002;AOE-00002;2;44;TABURETE;;;;;;;;;MADERA;CAFê;50X30;CUSTODIO;;TABURETE DE MADERA COLOR CAFê DE 50X30 Cm. ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070232011;035-07-02-32-011;35020233010/SC-00756/SNP 1664/FCC-M-04-11;00003;AOE-00003;2;29;MESA PARA COMPUTADORA;1 CAJON 2 DIVISIONES;;;;;;;;MADERA;CAFê;87X118X60;CUSTODIO;;MESA PARA COMPUTADORA DE MADERA COLOR CAFê DE 87X118X60 Cm. CON 1 CAJON 2 DIVISIONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070214041;035-07-02-14-041;35020207048/SNP-2019 / 10-EMA-01-01/93 / M-02-0252;00004;AOE-00004;2;14;ESCRITORIO;TAPA FORMICA 2 ALEROS 7 CAJONES;;;;;;;;MADERA;CAFê;79X159X78;CUSTODIO;;ESCRITORIO DE MADERA COLOR CAFê DE 79X159X78 Cm. CON TAPA FORMICA 2 ALEROS 7 CAJONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070242064;035-07-02-42-064;35010242022/SNP-M-05-0083/0070 3SA001;00005;AOE-00005;2;42;SILLON GIRATORIO SEMIEJECUTIVO;ASIENTO ESPALDAR TAPIZ TELA CAFê APOYABRAZOS Y RUEDAS;;;;;;;;METAL;NEGRO;;CUSTODIO;HIDRAULICO MAL ESTADO ;SILLON GIRATORIO SEMIEJECUTIVO DE METAL COLOR NEGRO CON ASIENTO ESPALDAR TAPIZ TELA CAFê APOYABRAZOS Y RUEDAS ;5;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070214059;035-07-02-14-059;35020207013/SNP-1661;00006;AOE-00006;2;14;ESCRITORIO;1 ALERO 7 CAJONES;;;;;;;;MADERA;CAFê;78X150X74;CUSTODIO;;ESCRITORIO DE MADERA COLOR CAFê DE 78X150X74 Cm. CON 1 ALERO 7 CAJONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070232014;035-07-02-32-014;35020233014/SNP-2025/M.03.0226/C.N.S.C.047;00007;AOE-00007;2;29;MESA PARA COMPUTADORA;1 CAJON 2 DIVISIONES;;;;;;;;MADERA;CAFê;74X113X62;CUSTODIO;;MESA PARA COMPUTADORA DE MADERA COLOR CAFê DE 74X113X62 Cm. CON 1 CAJON 2 DIVISIONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070235013;035-07-02-35-013;35020237004/CORDES 136/2 / SA-MO-03 / M-11-0217;00008;AOE-00008;2;35;PERCHERO;6 GANCHOS;;;;;;;;METAL;GUINDO;166;CUSTODIO;;PERCHERO DE METAL COLOR GUINDO DE 166 Cm. CON 6 GANCHOS ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070214043;035-07-02-14-043;35020207017/FCF-135-002 / SNP-2113;00009;AOE-00009;2;14;ESCRITORIO;TAPA FORMICA 7 CAJONES;;;;;;;;MADERA;CAFê;75X160X75;CUSTODIO;;ESCRITORIO DE MADERA COLOR CAFê DE 75X160X75 Cm. CON TAPA FORMICA 7 CAJONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070242037;035-07-02-42-037;35020242038/13-SMT-01-141 / SNP-1631;00010;AOE-00010;2;42;SILLON GIRATORIO TIPO SECRETARIAL;ASIENTO ESPALDAR TAPIZ TELA NEGRA APOYABRAZOS Y RUEDAS;;;;;;;;METAL;NEGRO;;CUSTODIO;ESPALDAR ROTO;SILLON GIRATORIO TIPO SECRETARIAL DE METAL COLOR NEGRO CON ASIENTO ESPALDAR TAPIZ TELA NEGRA APOYABRAZOS Y RUEDAS ;6;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070232010;035-07-02-32-010;35020233020/SNPE-2071/C.N.S||C.06;00011;AOE-00011;2;29;MESA PARA COMPUTADORA;1 CAJON 2 DIVISIONES;;;;;;;;MADERA;CAFê;75X113X62;CUSTODIO;;MESA PARA COMPUTADORA DE MADERA COLOR CAFê DE 75X113X62 Cm. CON 1 CAJON 2 DIVISIONES ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
35070502007;035-07-05-02-007;35020501009/SNP-1653;00012;AOE-00012;5;80;TELEFONO DIGITAL;;PANASONIC;KX-T2310;5BBQE034923;;;;;;;;CUSTODIO;;TELEFONO DIGITAL MARCA PANASONIC MODELO KX-T2310 S/N: 5BBQE034923 ;4;1;LITORAL;4;;UNIDAD DE RECUPERACION DE CARTERA;107;DANIEL - EDWIN;45558
